week,video_spend,paid_search_spend,social_spend,price,promotion,event,seasonal_component,trend_component,noise,simulated_sales,data_type
62,34197.136613302675,9957.257758596868,8731.925625890644,61.369110541910494,0,0.0,374.0064970741659,372.0,345.4442827552686,8621.83902213901,synthetic
63,29235.654207823813,8466.553847342413,7916.702756978435,58.053323821484696,1,0.0,388.3767269704208,378.0,34.85827371502349,9314.699561554276,synthetic
64,17429.08147150108,9649.184515918923,10681.49893748101,58.01377976142886,0,0.0,397.08354963922153,384.0,213.8647798876576,8508.186778133051,synthetic
65,14368.130463160895,10911.121326521015,7248.296290731023,65.35608693998857,0,0.0,400.0,390.0,145.79193156733885,7886.223959457942,synthetic
66,12918.827497329474,10353.484412448279,8597.32649184073,54.63868064239234,1,0.0,397.0835496392216,396.0,-27.584729330839643,9066.666914863514,synthetic
67,21425.07141481309,9105.189100744832,7491.174679422277,61.820052042844104,1,0.0,388.37672697042075,402.0,-65.71460968020376,8647.473944068812,synthetic
68,16915.797859487044,18372.811625918024,6642.4320320944835,60.80547483462201,1,0.0,374.0064970741659,408.0,-37.65527022171611,8877.809632236513,synthetic
69,14460.183600799599,9916.196411977859,10808.584732321266,64.15887162243338,0,0.0,354.1824102612841,414.0,448.30755820611034,8119.863237253544,synthetic
70,17626.76812337842,4600.837368955024,5519.687795434235,63.24340728346336,0,0.0,329.1935463574629,420.0,-119.04693146353983,7296.311562164482,synthetic
71,10042.088003471095,9486.439936931074,5316.225158922136,64.00918800584877,0,0.0,299.40429926844047,426.0,397.8919608753203,7688.250355973503,synthetic
72,10720.809463308966,5636.42827127961,7926.290568415093,56.180450949692016,0,0.0,265.24906329631824,432.0,-84.92140533103752,7448.078610559697,synthetic
73,24183.05848861341,11839.899415095235,9420.88376331644,56.90522885785015,0,0.0,227.22589869246272,438.0,-273.7898639957363,7665.034311997563,synthetic
74,24178.96733758135,4788.988534303507,6171.02013776051,57.02926414231328,0,0.0,185.8892688175074,444.0,71.9353413766494,7843.641311812445,synthetic
75,22918.588749441507,13951.49056113601,7768.445446200458,64.42521827245727,0,0.0,141.84195481701443,450.0,91.01769276815428,7742.944245828927,synthetic
76,9931.488968184556,8100.018636012594,11387.081379954181,60.145128776270994,1,0.0,95.7262657150235,456.0,107.54513325444157,8600.340976844778,synthetic
77,26811.834687038026,12295.704482137116,6704.001380156652,61.874884665085986,0,0.0,48.21467210212915,462.0,127.64805568580067,7817.720367672397,synthetic
78,9575.036224801654,16123.711862403476,8495.67822826413,56.995018995244145,0,0.0,1.4695761589768238e-13,468.0,-225.3460189338102,7599.389288340807,synthetic
79,13741.91684091122,15381.960995288944,12864.746064557716,66.79105942866758,0,0.0,-48.21467210212956,474.0,130.89211594305795,7402.432759687681,synthetic
80,20142.832320470134,7789.4366497196825,7725.9209845738915,59.31665011944976,1,0.0,-95.72626571502323,480.0,-72.61176467492169,8333.493243560755,synthetic
81,16475.25782625687,12317.87835400754,11331.018821238074,61.80162139967638,1,0.0,-141.84195481701417,486.0,126.90304843983918,8452.830265511813,synthetic
82,20704.786430543576,10287.51272766704,9037.994301302524,59.463133071890006,0,0.0,-185.88926881750714,492.0,-83.2669147736516,7448.605611096148,synthetic
83,19325.028456277098,12659.139931092168,9894.257946478097,57.07958574172291,0,0.0,-227.22589869246247,498.0,-79.49680091175689,7624.011709117948,synthetic
84,15365.428258018099,10173.197037391585,8993.768327418396,62.242839891422776,0,0.0,-265.249063296318,504.0,-326.6408276518071,6930.504168852955,synthetic
85,29795.124208344816,15330.483098401242,6714.81763715261,54.72554843669491,0,0.0,-299.40429926844024,510.0,-57.88371856362122,7874.364238146277,synthetic
86,18687.47137982806,14323.733941097918,8921.176375259109,64.04492789170719,0,0.0,-329.19354635746225,516.0,-68.170600927024,7288.678960347913,synthetic
87,31082.873943914085,14917.072391228176,8167.188665695323,56.705396621303706,1,0.0,-354.1824102612836,522.0,236.32851711565024,9046.41505930535,synthetic
88,26090.798145185312,7251.256071924067,8949.35696836621,57.143990707634515,0,1.0,-374.00649707416557,528.0,-237.36077420180357,8965.434155755003,synthetic
89,28847.512428316055,14026.906600877837,6608.629269200268,62.15713454449524,0,1.0,-388.3767269704209,534.0,-40.72120965228971,9027.446974985241,synthetic
90,17723.948478143455,12488.418430272763,12803.835360812946,60.6825812567261,0,0.0,-397.0835496392216,540.0,577.8754567983696,8172.385752554683,synthetic
91,20158.565556404123,10731.06567655696,8704.00621681931,54.156429004046956,0,0.0,-400.0,546.0,290.9449114948721,8126.018453098198,synthetic
92,29147.21607988866,9019.382861632548,11451.83548414276,60.280661760596054,0,0.0,-397.08354963922164,552.0,170.3555490653598,7753.0962748259135,synthetic
93,10229.81411634514,6942.484997615647,7538.006833545891,59.52755195729798,0,0.0,-388.3767269704209,558.0,108.25789512994415,7368.48842833466,synthetic
94,10270.152084447895,16991.552063621926,8503.578627607454,61.764632202224966,0,0.0,-374.00649707416596,564.0,225.3761331411332,7474.150268932654,synthetic
95,27469.720736799132,11070.134747508704,9503.714745788697,63.08959987364363,0,0.0,-354.1824102612841,570.0,210.76044023483863,7571.299609085217,synthetic
96,27261.588405322436,7287.360943335225,9432.903579490972,65.70636864336258,0,0.0,-329.1935463574624,576.0,258.1542852088808,7483.435565297339,synthetic
97,12159.88390833007,8892.359125967301,10439.791716448024,60.29078386587969,0,0.0,-299.40429926844047,582.0,33.4055199423781,7439.336108112844,synthetic
98,27772.66072153375,16137.779645520714,6467.100229860623,57.742065732672444,0,0.0,-265.2490632963183,588.0,-196.3117611549985,7688.863439312765,synthetic
99,14486.140671505478,11262.072287726534,13076.154105260397,56.495398360144456,0,0.0,-227.22589869246215,594.0,231.27060263968949,8103.92426851214,synthetic
100,15343.068693673276,6836.50176161466,1604.7810011807705,65.5505741542264,0,0.0,-185.88926881750746,600.0,-113.49674021152474,6909.057184043953,synthetic
101,21922.226845652443,13466.425460175864,11659.166398101443,58.711496472097316,0,0.0,-141.84195481701448,606.0,111.93592431168089,7922.208223171891,synthetic
102,12766.639689834505,9100.858480381132,7021.7669049000715,58.2868152856308,0,0.0,-95.72626571502356,612.0,-184.23107274142316,7456.580290991036,synthetic
103,20856.804212531406,11027.47097630585,10100.0691442801,62.66931112713855,1,0.0,-48.2146721021299,618.0,-134.72433416554023,8371.374680671628,synthetic
